TF,#,0
王,W,1
9520,#,0
李,L,2
9340,#,0
张,Z,3
8960,#,0
刘,L,4
6770,#,0
陈,C,5
6130,#,0
杨,Y,6
4270,#,0
黄,H,8
3260,#,0
吴,W,10
2680,#,0
赵,Z,7
2670,#,0
周,Z,9
2520,#,0
徐,X,11
1930,#,0
孙,S,12
1830,#,0
马,M,19
1720,#,0
朱,Z,14
1700,#,0
胡,H,13
1550,#,0
林,L,16
1510,#,0
郭,G,18
1500,#,0
何,H,17
1400,#,0
高,G,15
1330,#,0
罗,L,20
1260,#,0
郑,Z,23
1240,#,0
梁,L,21
1130,#,0
谢,X,24
1010,#,0
宋,S,22
932,#,0
唐,T,26
917,#,0
许,X,35
881,#,0
邓,D,34
821,#,0
冯,F,27
818,#,0
韩,H,25
815,#,0
曹,C,32
791,#,0
曾,Z,38
772,#,0
彭,P,39
766,#,0
肖,#,0
739,#,0
蔡,C,44
701,#,0
潘,P,52
687,#,0
田,T,58
685,#,0
董,D,29
677,#,0
袁,Y,33
667,#,0
于,Y,28
642,#,0
余,Y,51
633,#,0
蒋,J,43
632,#,0
叶,Y,49
杜,D,53
619,#,0
苏,S,41
606,#,0
魏,W,47
603,#,0
程,C,31
601,#,0
吕,L,40
596,#,0
丁,D,46
576,#,0
沈,S,37
550,#,0
任,R,59
547,#,0
姚,Y,64
538,#,0
卢,L,42
536,#,0
钟,Z,56
533,#,0
姜,J,60
523,#,0
崔,C,74
509,#,0
谭,T,65
499,#,0
廖,L,66
487,#,0
范,F,61
485,#,0
汪,W,57
483,#,0
陆,L,70
480,#,0
金,J,69
467,#,0
石,S,63
455,#,0
戴,D,54
449,#,0
贾,J,45
439,#,0
韦,W,0
430,#,0
夏,X,55
426,#,0
邱,Q,77
423,#,0
方,F,62
413,#,0
侯,H,82
401,#,0
邹,Z,67
394,#,0
熊,X,68
384,#,0
孟,M,84
383,#,0
秦,Q,78
379,#,0
白,B,73
374,#,0
毛,M,76
江,J,79
369,#,0
闫,Y,0
360,#,0
薛,X,48
347,#,0
尹,Y,91
346,#,0
付,#,0
336,#,0
段,D,87
320,#,0
雷,L,88
319,#,0
黎,L,92
288,#,0
史,S,80
285,#,0
龙,L,85
281,#,0
钱,Q,89
